0,1
122.08,"[920, 998]"
125.39,"[920, 998]"
128.42,"[920, 998]"
130.98,"[920, 998]"
60.52,"[476, 784]"
63.55,"[478, 782]"
66.58,"[491, 785]"
69.61,"[490, 781]"
72.64,"[489, 770]"
75.67,"[490, 767]"
78.71,"[494, 764]"
83.76,"[498, 764]"
86.78,"[500, 760]"
89.81,"[500, 759]"
92.84,"[503, 752]"
95.88,"[500, 750]"
98.9,"[495, 749]"
101.93,"[490, 756]"
104.96,"[491, 759]"
107.99,"[491, 759]"
111.01,"[490, 766]"
117.05,"[491, 767]"
121.08,"[491, 767]"
124.1,"[490, 760]"
127.13,"[490, 760]"
130.15,"[490, 760]"
133.18,"[490, 758]"
136.21,"[497, 754]"
139.23,"[510, 761]"
142.26,"[503, 754]"
145.29,"[497, 757]"
148.3,"[498, 757]"
151.32,"[498, 757]"
168.49,"[498, 757]"
171.53,"[507, 753]"
174.56,"[508, 752]"
177.58,"[508, 752]"
180.59,"[520, 755]"
183.6,"[534, 748]"
186.62,"[546, 741]"
189.66,"[555, 743]"
192.69,"[561, 744]"
195.72,"[564, 738]"
198.74,"[560, 734]"
201.77,"[553, 734]"
204.81,"[555, 737]"
207.82,"[568, 746]"
215.89,"[629, 771]"
218.92,"[644, 768]"
221.94,"[657, 764]"
224.96,"[668, 761]"
227.99,"[682, 756]"
231.02,"[694, 749]"
234.04,"[707, 741]"
237.06,"[722, 744]"
242.1,"[742, 750]"
245.14,"[739, 743]"
248.16,"[732, 733]"
251.18,"[722, 725]"
254.21,"[718, 724]"
257.23,"[718, 713]"
261.27,"[705, 684]"
264.3,"[699, 675]"
267.32,"[696, 677]"
270.35,"[701, 676]"
273.38,"[701, 674]"
276.41,"[701, 675]"
279.43,"[705, 684]"
282.46,"[714, 698]"
285.49,"[722, 694]"
288.53,"[730, 701]"
291.55,"[737, 707]"
294.58,"[751, 707]"
297.62,"[764, 713]"
300.65,"[759, 726]"
303.67,"[756, 725]"
310.75,"[757, 726]"
313.77,"[764, 714]"
316.81,"[753, 708]"
319.83,"[740, 708]"
322.86,"[728, 698]"
325.88,"[717, 698]"
328.91,"[704, 689]"
331.95,"[699, 677]"
343.01,"[701, 676]"
346.03,"[698, 665]"
349.07,"[698, 662]"
352.09,"[698, 662]"
355.1,"[698, 663]"
358.14,"[697, 663]"
361.15,"[702, 668]"
364.19,"[701, 668]"
387.37,"[701, 668]"
390.4,"[701, 669]"
393.43,"[701, 669]"
396.46,"[698, 672]"
399.48,"[700, 670]"
402.51,"[699, 662]"
409.56,"[697, 659]"
412.6,"[701, 670]"
415.63,"[705, 676]"
418.66,"[705, 677]"
421.69,"[702, 672]"
424.71,"[702, 670]"
427.73,"[703, 673]"
430.75,"[713, 690]"
433.78,"[715, 698]"
436.8,"[719, 696]"
439.84,"[729, 701]"
442.87,"[736, 707]"
445.91,"[744, 708]"
448.94,"[749, 708]"
451.96,"[737, 707]"
454.99,"[732, 706]"
458.01,"[733, 705]"
461.03,"[735, 706]"
464.06,"[733, 706]"
467.1,"[736, 706]"
470.12,"[746, 709]"
473.15,"[748, 707]"
476.17,"[746, 709]"
479.19,"[743, 709]"
482.23,"[743, 708]"
485.26,"[743, 708]"
488.28,"[743, 708]"
491.31,"[743, 708]"
496.35,"[746, 708]"
